trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
156,False,"{'a': 0.002, 'e': 0.7334469562242892}",20,7,-67.2105444182531,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 1}",1
157,False,"{'a': 0.002, 'e': 0.7319815282283126}",20,0,-25.99429609819359,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
158,False,"{'a': 0.002, 'e': 0.7305190281594249}",20,0,-17.207552311005713,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
159,False,"{'a': 0.002, 'e': 0.7290594501676237}",20,0,-73.56955665784439,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
160,False,"{'a': 0.002, 'e': 0.7276027884145955}",20,0,-53.12308357206769,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
161,False,"{'a': 0.002, 'e': 0.7261490370736909}",25,0,-5.986587419146808,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
162,False,"{'a': 0.002, 'e': 0.7246981903299029}",20,0,-68.69572454503835,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
163,False,"{'a': 0.002, 'e': 0.7232502423798424}",30,19,-32.64827436035723,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
164,False,"{'a': 0.002, 'e': 0.7218051874317158}",20,0,-84.43983336146738,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
165,False,"{'a': 0.002, 'e': 0.7203630197053014}",20,0,-42.71450722995427,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
166,False,"{'a': 0.002, 'e': 0.7189237334319262}",20,0,-80.39622614424736,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
167,False,"{'a': 0.002, 'e': 0.7174873228544433}",20,0,-13.318838890049271,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
168,False,"{'a': 0.002, 'e': 0.7160537822272085}",35,0,-83.46304606616667,"{0: 24, 1: 3, 2: 7, 3: 0, 4: 1}",0
169,False,"{'a': 0.002, 'e': 0.7146231058160573}",20,0,-157.60705026022413,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
170,False,"{'a': 0.002, 'e': 0.7131952878982822}",30,0,-74.90236380968433,"{0: 20, 1: 1, 2: 8, 3: 1, 4: 0}",0
171,False,"{'a': 0.002, 'e': 0.7117703227626097}",25,0,-80.90189781558799,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
172,False,"{'a': 0.002, 'e': 0.7103482047091773}",25,0,-110.3937474010717,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
173,False,"{'a': 0.002, 'e': 0.7089289280495107}",20,0,-70.65674733884077,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
174,False,"{'a': 0.002, 'e': 0.7075124871065017}",20,0,-42.26245891370823,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
175,False,"{'a': 0.002, 'e': 0.7060988762143844}",25,0,-156.92186512543216,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
176,False,"{'a': 0.002, 'e': 0.7046880897187134}",20,0,-86.90284321602549,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
177,False,"{'a': 0.002, 'e': 0.7032801219763409}",30,19,-44.99843104897087,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
178,False,"{'a': 0.002, 'e': 0.701874967355394}",30,0,-46.469258493798016,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
179,False,"{'a': 0.002, 'e': 0.7004726202352524}",20,2,-55.286877677148084,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 0}",1
180,False,"{'a': 0.002, 'e': 0.6990730750065257}",30,12,-51.511995201200236,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
181,False,"{'a': 0.002, 'e': 0.697676326071031}",30,0,-129.53943556305964,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
182,False,"{'a': 0.002, 'e': 0.696282367841771}",20,11,-8.16739211663911,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
